Antibiotic,true_salt,PAST number,Source plate name,Source well,Destination plate name,Destination well,cond,galenique,solvent,theo_transf_vol_nL,transf_vol_nL,compens_dmso_nL,MIC (uM),xMIC,Target Concentration (uM),conc_from,conc_from_mm,ratio_reel_theo
Moxifloxacin,"No Salt, free base or acid",PAST-0136479-001,Selleckchem-L3800-07,G19,96w_22atb_240703_plate4,B11,Moxifloxacin_10MIC,in 10mM DMSO,DMSO,29.8930575864844,30,460,0.298930575864844,10,2.98930575864844,10mM,10,1.0035775
Moxifloxacin,"No Salt, free base or acid",PAST-0136479-001,Selleckchem-L3800-07,G19,96w_22atb_240703_plate4,G7,Moxifloxacin_1MIC,in 10mM DMSO,DMSO,2.98930575864844,2.5,487.5,0.298930575864844,1,0.298930575864844,10mM,10,0.836314583333332
Moxifloxacin,"No Salt, free base or acid",PAST-0136479-001,Selleckchem-L3800-07,G19,96w_22atb_240703_plate4,A8,Moxifloxacin_5MIC,in 10mM DMSO,DMSO,14.9465287932422,15,475,0.298930575864844,5,1.49465287932422,10mM,10,1.0035775
Novobiocin,1.0 Sodium(I),PAST-0135796-001,master plate,NA,96w_22atb_240703_plate4,E5,Novobiocin_0.5MIC,in 100mM Water,Water,8,7.5,0,16,0.5,8,100mM,100,0.9375
Novobiocin,1.0 Sodium(I),PAST-0135796-001,master plate,NA,96w_22atb_240703_plate4,G9,Novobiocin_10MIC,in 100mM Water,Water,160,160,0,16,10,160,100mM,100,1
Novobiocin,1.0 Sodium(I),PAST-0135796-001,master plate,NA,96w_22atb_240703_plate4,D6,Novobiocin_1MIC,in 100mM Water,Water,16,15,0,16,1,16,100mM,100,0.9375
Novobiocin,1.0 Sodium(I),PAST-0135796-001,master plate,NA,96w_22atb_240703_plate4,B7,Novobiocin_5MIC,in 100mM Water,Water,80,80,0,16,5,80,100mM,100,1
Rifabutin,"No Salt, free base or acid",PAST-0000705-004,master plate,NA,96w_22atb_240703_plate4,F10,Rifabutin_0.5MIC,in 1mM DMSO,DMSO,14.7576208353994,15,475,0.295152416707988,0.5,0.147576208353994,1mM,1,1.016424
Rifabutin,"No Salt, free base or acid",PAST-0000705-004,Selleckchem-L3800-02,M7,96w_22atb_240703_plate4,F1,Rifabutin_10MIC,in 10mM DMSO,DMSO,29.5152416707988,30,460,0.295152416707988,10,2.95152416707988,10mM,10,1.016424
Rifabutin,"No Salt, free base or acid",PAST-0000705-004,master plate,NA,96w_22atb_240703_plate4,D5,Rifabutin_1MIC,in 1mM DMSO,DMSO,29.5152416707988,30,460,0.295152416707988,1,0.295152416707988,1mM,1,1.016424
Rifabutin,"No Salt, free base or acid",PAST-0000705-004,Selleckchem-L3800-02,M7,96w_22atb_240703_plate4,C7,Rifabutin_5MIC,in 10mM DMSO,DMSO,14.7576208353994,15,475,0.295152416707988,5,1.47576208353994,10mM,10,1.016424
Rifampicin,"No Salt, free base or acid",PAST-0135665-001,master plate,NA,96w_22atb_240703_plate4,E12,Rifampicin_0.5MIC,in 1mM DMSO,DMSO,7.29093251026805,7.5,482.5,0.145818650205361,0.5,0.072909325102681,1mM,1,1.028675
Rifampicin,"No Salt, free base or acid",PAST-0135665-001,Selleckchem-L3800-02,I11,96w_22atb_240703_plate4,E4,Rifampicin_10MIC,in 10mM DMSO,DMSO,14.5818650205361,15,475,0.145818650205361,10,1.45818650205361,10mM,10,1.028675
Rifampicin,"No Salt, free base or acid",PAST-0135665-001,master plate,NA,96w_22atb_240703_plate4,H1,Rifampicin_1MIC,in 1mM DMSO,DMSO,14.5818650205361,15,475,0.145818650205361,1,0.145818650205361,1mM,1,1.028675
Rifampicin,"No Salt, free base or acid",PAST-0135665-001,Selleckchem-L3800-02,I11,96w_22atb_240703_plate4,A1,Rifampicin_5MIC,in 10mM DMSO,DMSO,7.29093251026805,7.5,482.5,0.145818650205361,5,0.729093251026805,10mM,10,1.028675
Streptomycine,1.5 Sulfuric acid,PAST-0000339-004,Selleckchem-L3800-11,I15,96w_22atb_240703_plate4,G10,Streptomycine_0.5MIC,in 10mM Water,Water,4.29863475360226,5,0,0.859726950720451,0.5,0.429863475360226,10mM,10,1.16316
