Antibiotic,true_salt,PAST number,Source plate name,Source well,Destination plate name,Destination well,cond,cond_original,galenique,solvent,theo_transf_vol_nL,transf_vol_nL,compens_dmso_nL,compens_water_nL,MIC (uM),xMIC,Target Concentration (uM),conc_from,conc_from_mm,ratio_reel_theo
Novobiocin,1.0 Sodium(I),PAST-0135796-001,master plate,NA,96w_22atb_240710_plate5,D12,Novobiocin_1MIC_lab,Novobiocin_1MIC_lab,in 100mM Water,Water,16,15,NA,485,16,1,16,100mM,100,0.9375
Novobiocin,1.0 Sodium(I),PAST-0135796-001,master plate,NA,96w_22atb_240710_plate5,C6,Novobiocin_5MIC_lab,Novobiocin_5MIC_lab,in 100mM Water,Water,80,80,NA,420,16,5,80,100mM,100,1
Rifampicin,"No Salt, free base or acid",PAST-0135665-001,master plate,NA,96w_22atb_240710_plate5,D1,Rifampicin_0.5MIC_FDA,Rifampicin_0.5MIC_FDA,in 1mM DMSO,DMSO,7.29093251026805,7.5,492.5,NA,0.145818650205361,0.5,0.072909325102681,1mM,1,1.028675
Rifampicin,NA,NA,master plate,tube #16,96w_22atb_240710_plate5,E12,Rifampicin_0.5MIC_lab,Rifampicin_0.5MIC_lab,in 0.024mgmL DMSO,DMSO,NA,250,250,NA,0.145818650205361,0.5,0.072909325102681,0.024mgmL,NA,NA
Rifampicin,"No Salt, free base or acid",PAST-0135665-001,Selleckchem-L3800-02,I11,96w_22atb_240710_plate5,E1,Rifampicin_10MIC_FDA,Rifampicin_10MIC_FDA,in 10mM DMSO,DMSO,14.5818650205361,15,485,NA,0.145818650205361,10,1.45818650205361,10mM,10,1.028675
Rifampicin,NA,NA,master plate,tube #15,96w_22atb_240710_plate5,H2,Rifampicin_10MIC_lab,Rifampicin_10MIC_lab,in 0.24mgmL DMSO,DMSO,NA,500,0,NA,0.145818650205361,10,1.45818650205361,0.24mgmL,NA,NA
Rifampicin,"No Salt, free base or acid",PAST-0135665-001,master plate,NA,96w_22atb_240710_plate5,G3,Rifampicin_1MIC_FDA,Rifampicin_1MIC_FDA,in 1mM DMSO,DMSO,14.5818650205361,15,485,NA,0.145818650205361,1,0.145818650205361,1mM,1,1.028675
Rifampicin,NA,NA,master plate,tube #16,96w_22atb_240710_plate5,E3,Rifampicin_1MIC_lab,Rifampicin_1MIC_lab,in 0.024mgmL DMSO,DMSO,NA,500,0,NA,0.145818650205361,1,0.145818650205361,0.024mgmL,NA,NA
Rifampicin,"No Salt, free base or acid",PAST-0135665-001,Selleckchem-L3800-02,I11,96w_22atb_240710_plate5,G12,Rifampicin_5MIC_FDA,Rifampicin_5MIC_FDA,in 10mM DMSO,DMSO,7.29093251026805,7.5,492.5,NA,0.145818650205361,5,0.729093251026805,10mM,10,1.028675
Rifampicin,NA,NA,master plate,tube #15,96w_22atb_240710_plate5,G9,Rifampicin_5MIC_lab,Rifampicin_5MIC_lab,in 0.24mgmL DMSO,DMSO,NA,250,250,NA,0.145818650205361,5,0.729093251026805,0.24mgmL,NA,NA
