Antibiotic,true_salt,PAST number,Source plate name,Source well,Destination plate name,Destination well,cond,rep,galenique,solvent,theo_transf_vol_nL,transf_vol_nL,compens_dmso_nL,compens_water_nL,MIC (uM),xMIC,Target Concentration (uM),conc_from,conc_from_mm,ratio_reel_theo
Amikacin,1.0 Hydroxide,PAST-0137186-001,Selleckchem-L3800-11,G19,96w_22atb_240703_plate4,J10,Amikacin_5MIC,1,in 10mM Water,Water,42.691,42.5,0,457.5,1.70765027322404,5,8.5382513661202,10mM,10,0.995520000000002
Kanamycin,1.0 Sulfuric acid,PAST-0000581-004,Selleckchem-L3800-11,A13,96w_22atb_240703_plate4,K4,Kanamycin_0.5MIC,1,in 10mM Water,Water,2.58,2.5,0,497.5,1.031994,0.5,0.515997,10mM,10,0.96899788177063
Kanamycin,1.0 Sulfuric acid,PAST-0000581-004,Selleckchem-L3800-11,A13,96w_22atb_240703_plate4,J6,Kanamycin_10MIC,1,in 10mM Water,Water,51.6,52.5,0,447.5,1.031994,10,10.31994,10mM,10,0.993222828814896
Kanamycin,1.0 Sulfuric acid,PAST-0000581-004,Selleckchem-L3800-11,A13,96w_22atb_240703_plate4,F20,Kanamycin_1MIC,1,in 10mM Water,Water,5.16,5,0,495,1.031994,1,1.031994,10mM,10,0.96899788177063
Kanamycin,1.0 Sulfuric acid,PAST-0000581-004,Selleckchem-L3800-11,A13,96w_22atb_240703_plate4,G12,Kanamycin_5MIC,1,in 10mM Water,Water,25.8,25,0,475,1.031994,5,5.15997,10mM,10,1.01744777585916
Streptomycine,1.5 Sulfuric acid,PAST-0000339-004,Selleckchem-L3800-11,I15,96w_22atb_240703_plate4,J17,Streptomycine_0.5MIC,1,in 10mM Water,Water,2.149,2.5,0,497.5,0.859726950720451,0.5,0.429863475360226,10mM,10,1.16316
Streptomycine,1.5 Sulfuric acid,PAST-0000339-004,Selleckchem-L3800-11,I15,96w_22atb_240703_plate4,M8,Streptomycine_10MIC,1,in 10mM Water,Water,42.986,42.5,0,457.5,0.859726950720451,10,8.59726950720451,10mM,10,0.988686
Streptomycine,1.5 Sulfuric acid,PAST-0000339-004,Selleckchem-L3800-11,I15,96w_22atb_240703_plate4,C17,Streptomycine_1MIC,1,in 10mM Water,Water,4.299,5,0,495,0.859726950720451,1,0.859726950720451,10mM,10,0.87237
Streptomycine,1.5 Sulfuric acid,PAST-0000339-004,Selleckchem-L3800-11,I15,96w_22atb_240703_plate4,D21,Streptomycine_5MIC,1,in 10mM Water,Water,21.493,22.5,0,477.5,0.859726950720451,5,4.29863475360226,10mM,10,0.988685999999999
control,NA,NA,solvent plate,NA,96w_22atb_240703_plate4,F21,controlDMSO,1,NA,DMSO,0,0,490,0,NA,NA,NA,NAmM,NA,NA
control,NA,NA,solvent plate,NA,96w_22atb_240703_plate4,O1,controlDMSO,1,NA,DMSO,0,0,490,0,NA,NA,NA,NAmM,NA,NA
control,NA,NA,solvent plate,NA,96w_22atb_240703_plate4,A2,controlDMSO,1,NA,DMSO,0,0,490,0,NA,NA,NA,NAmM,NA,NA
control,NA,NA,solvent plate,NA,96w_22atb_240703_plate4,I20,controlDMSO,1,NA,DMSO,0,0,490,0,NA,NA,NA,NAmM,NA,NA
control,NA,NA,solvent plate,NA,96w_22atb_240703_plate4,E24,controlDMSO,1,NA,DMSO,0,0,490,0,NA,NA,NA,NAmM,NA,NA
control,NA,NA,solvent plate,NA,96w_22atb_240703_plate4,A9,controlDMSO,1,NA,DMSO,0,0,490,0,NA,NA,NA,NAmM,NA,NA
control,NA,NA,solvent plate,NA,96w_22atb_240703_plate4,A4,controlwater,1,NA,water,0,0,0,500,NA,NA,NA,NAmM,NA,NA
control,NA,NA,solvent plate,NA,96w_22atb_240703_plate4,L20,controlwater,1,NA,water,0,0,0,500,NA,NA,NA,NAmM,NA,NA
control,NA,NA,solvent plate,NA,96w_22atb_240703_plate4,L12,controlwater,1,NA,water,0,0,0,500,NA,NA,NA,NAmM,NA,NA
control,NA,NA,solvent plate,NA,96w_22atb_240703_plate4,N22,controlwater,1,NA,water,0,0,0,500,NA,NA,NA,NAmM,NA,NA
control,NA,NA,solvent plate,NA,96w_22atb_240703_plate4,B7,controlwater,1,NA,water,0,0,0,500,NA,NA,NA,NAmM,NA,NA
control,NA,NA,solvent plate,NA,96w_22atb_240703_plate4,P12,controlwater,1,NA,water,0,0,0,500,NA,NA,NA,NAmM,NA,NA
Amoxicillin,"No Salt, free base or acid",PAST-0000352-004,master plate,NA,96w_22atb_240703_plate4,D18,Amoxicillin_0.5MIC,2,in 1mM DMSO,DMSO,8.552,10,480,0,0.342081497495963,0.5,0.171040748747982,1mM,1,1.023148
