Antibiotic,true_salt,PAST number,Source plate name,Source well,Destination plate name,Destination well,cond,galenique,solvent,theo_transf_vol_nL,transf_vol_nL,compens_dmso_nL,compens_water_nL,MIC (uM),xMIC,Target Concentration (uM),conc_from,conc_from_mm,ratio_reel_theo
control,NA,NA,solvent plate,NA,96w_22atb_240703_plate4,G1,DMSO_3,NA,DMSO,NA,0,490,0,NA,NA,NA,NAmM,NA,NA
control,NA,NA,solvent plate,NA,96w_22atb_240703_plate4,G5,DMSO_4,NA,DMSO,NA,0,490,0,NA,NA,NA,NAmM,NA,NA
control,NA,NA,solvent plate,NA,96w_22atb_240703_plate4,C7,DMSO_5,NA,DMSO,NA,0,490,0,NA,NA,NA,NAmM,NA,NA
control,NA,NA,solvent plate,NA,96w_22atb_240703_plate4,E2,DMSO_6,NA,DMSO,NA,0,490,0,NA,NA,NA,NAmM,NA,NA
control,NA,NA,solvent plate,NA,96w_22atb_240703_plate4,D11,Water_1,NA,water,NA,0,0,500,NA,NA,NA,NAmM,NA,NA
control,NA,NA,solvent plate,NA,96w_22atb_240703_plate4,D6,Water_2,NA,water,NA,0,0,500,NA,NA,NA,NAmM,NA,NA
control,NA,NA,solvent plate,NA,96w_22atb_240703_plate4,F2,Water_3,NA,water,NA,0,0,500,NA,NA,NA,NAmM,NA,NA
control,NA,NA,solvent plate,NA,96w_22atb_240703_plate4,A9,Water_4,NA,water,NA,0,0,500,NA,NA,NA,NAmM,NA,NA
control,NA,NA,solvent plate,NA,96w_22atb_240703_plate4,B2,Water_5,NA,water,NA,0,0,500,NA,NA,NA,NAmM,NA,NA
control,NA,NA,solvent plate,NA,96w_22atb_240703_plate4,B11,Water_6,NA,water,NA,0,0,500,NA,NA,NA,NAmM,NA,NA
